Size 5075 
 4.9588251e+06 4.2539951e+06-1.5790431e-07-1.5790431e-07 1.0425441e+07
 6.9778712e+06 6.5428519e+06-1.0567535e-07-1.0567535e-07 1.6198311e+07
 6.9070245e+06 6.9067071e+06-0.0000000e+00-0.0000000e+00 1.6342075e+07
 7.1455815e+06 7.1461755e+06-9.0809525e-08-9.0809525e-08 1.6486648e+07
 4.6315381e+06 4.9106699e+06-0.0000000e+00-0.0000000e+00 1.5065485e+07
 6.5295170e+06 5.7784272e+06-1.9386634e-05-1.9386634e-05 1.5902258e+07
 7.0328398e+06 7.0310656e+06-0.0000000e+00-0.0000000e+00 1.6431373e+07
 7.0322304e+06 7.0052813e+06-1.9392446e-05-1.9392446e-05 1.6425419e+07
 7.8328068e+06 6.9037261e+06-1.9273745e-05-1.9273745e-05 1.6752792e+07
 1.2116312e+07 1.1418690e+07-0.0000000e+00-0.0000000e+00 2.7087982e+07
 1.5220300e+07 1.4777137e+07-1.8966223e-05-1.8966223e-05 3.4689903e+07
 1.9151273e+07 1.8953646e+07-0.0000000e+00-0.0000000e+00 4.4207669e+07
 2.0237116e+07 2.0258103e+07-1.8759939e-05-1.8759939e-05 4.7055364e+07
 2.0880844e+07 2.1080586e+07-1.8802527e-05-1.8802527e-05 4.8828437e+07
 2.1653497e+07 2.1980448e+07-1.8977896e-05-1.8977896e-05 5.0848146e+07
 2.1723130e+07 2.2116242e+07-0.0000000e+00-0.0000000e+00 5.1161024e+07
 2.1748834e+07 2.2148340e+07-1.9799660e-05-1.9799660e-05 5.1304325e+07
 2.1803932e+07 2.2155418e+07-0.0000000e+00-0.0000000e+00 5.1461301e+07
 2.7854897e+07 2.8120137e+07-2.1074811e-05-2.1074811e-05 6.5566196e+07
 3.3965834e+07 3.4118884e+07-2.1725738e-05-2.1725738e-05 7.9778241e+07
 3.8466000e+07 3.8493961e+07-2.2320269e-05-2.2320269e-05 9.0203806e+07
 4.1437429e+07 4.1338829e+07-0.0000000e+00-0.0000000e+00 9.7051039e+07
 4.5559382e+07 4.5345289e+07-2.3257795e-05-2.3257795e-05 1.0658534e+08
 4.9264753e+07 4.8953918e+07-2.3577648e-05-2.3577648e-05 1.1515780e+08
 5.5459342e+07 5.5074993e+07-2.3798019e-05-2.3798019e-05 1.2955474e+08
 6.1678058e+07 6.1238237e+07-0.0000000e+00-0.0000000e+00 1.4401884e+08
 6.6221862e+07 6.5742017e+07-2.3971874e-05-2.3971874e-05 1.5458700e+08
 6.6327486e+07 6.5823494e+07-0.0000000e+00-0.0000000e+00 1.5480844e+08
