Size 691 
 1.1826915e-05 1.2440744e-05 3.0753973e-04
 4.9214155e-05 4.6762796e-05 8.0629674e-05
 1.0035478e-04 9.9957103e-05 8.1267839e-05
 5.2625040e-06 1.2155329e-05 0.0000000e+00
 0.0000000e+00 2.2876550e-05 3.0878143e-04
 4.0972555e-06 1.2402946e-05 7.1295621e-06
 6.6523760e-05 6.5673813e-05 4.0615332e-05
 5.8463339e-06 6.1568886e-06 1.2062927e-05
 3.0560726e-04 2.9518920e-04 2.8054285e-04
 2.6228890e-04 2.4142042e-04 2.1867675e-04
 1.9470985e-04 1.7004712e-04 1.4519298e-04
 1.2063795e-04 9.6882878e-05 7.4461564e-05
 5.3985749e-05 3.6135992e-05 2.1909345e-05
 1.1753473e-05 6.3459891e-06 7.5780067e-06
 1.5642995e-05 2.7613285e-05 3.9736391e-05
 4.8536499e-05 4.3764152e-05 4.2927945e-05
 4.3509189e-05 4.5152372e-05 4.7496328e-05
 5.0216697e-05 5.3137988e-05 5.6140998e-05
 5.9132917e-05 6.2046772e-05 6.4874660e-05
 6.7556040e-05 6.9957393e-05 7.2260170e-05
 7.4326392e-05 7.6251112e-05 7.7892621e-05
 7.9252055e-05 8.0330481e-05 8.1133243e-05
 8.1665189e-05 8.1930786e-05 8.1939031e-05
 8.1702855e-05 8.1239049e-05 8.7471016e-05
 9.3913071e-05 1.0024306e-04 1.0009846e-04
 9.3645935e-05 8.7371151e-05 7.6440408e-05
 7.1901491e-05 6.7983727e-05 6.4773737e-05
 6.2225981e-05 5.9975862e-05 5.7968448e-05
 5.6130438e-05 5.4387991e-05 5.2692052e-05
 5.0983442e-05 4.9210107e-05 4.7340846e-05
 4.5330992e-05 4.3165504e-05 4.0820017e-05
 3.8287876e-05 3.5563821e-05 3.2654290e-05
 2.9576054e-05 2.6355171e-05 2.3031438e-05
 1.9659581e-05 1.6314315e-05 1.3078064e-05
 1.0071299e-05 7.4377345e-06 5.3616400e-06
 4.0751081e-06 3.8821609e-06 8.1318291e-06
 1.0748465e-05 1.1965495e-05 1.0127281e-05
 8.0455017e-06 5.9843162e-06 4.0904396e-06
 2.3957191e-06 9.3787325e-07-2.7041739e-07
-1.2241168e-06-1.9480001e-06-2.4498461e-06
-2.7835670e-06-2.8241504e-06-2.6812672e-06
-2.4147499e-06-2.0554082e-06-1.6412269e-06
-1.2138727e-06-8.1085301e-07-4.7681882e-07
-2.2669332e-07-6.0314383e-08 0.0000000e+00
 0.0000000e+00 1.2664024e-06 2.8685990e-06
 5.2475218e-06 8.6486326e-06 1.2787167e-05
 1.7486321e-05 2.2593987e-05 2.7976389e-05
 3.3514606e-05 3.9102763e-05 4.4647429e-05
 5.0065051e-05 5.5281697e-05 6.0231781e-05
 6.4854846e-05 6.9105526e-05 7.2931984e-05
 7.6293953e-05 7.9154652e-05 8.1483196e-05
 8.3252316e-05 8.4455250e-05 8.4982471e-05
 8.4960977e-05 8.4274652e-05 8.2900636e-05
 8.0921541e-05 7.8255665e-05 7.4962738e-05
 7.1021881e-05 6.6481453e-05 6.1353247e-05
 5.5669523e-05 4.9526324e-05 4.3013088e-05
 3.6239963e-05 2.9329688e-05 3.7922092e-05
 5.5955059e-05 7.6457744e-05 9.8790798e-05
 1.2238861e-04 1.4673071e-04 1.7132905e-04
 1.9570594e-04 2.1936679e-04 2.4177228e-04
 2.6231137e-04 2.8023797e-04 2.9467828e-04
 3.0416520e-04 3.0888584e-04 3.7454291e-06
 3.5730146e-06 3.5601814e-06 3.6945051e-06
 3.9790609e-06 4.4160575e-06 5.0147133e-06
 5.7657353e-06 6.6677087e-06 7.7042630e-06
 8.8308078e-06 1.0004818e-05 1.1245532e-05
 1.2539905e-05 1.3833466e-05 1.5079797e-05
 1.6201949e-05 1.7110036e-05 1.7692945e-05
 1.7796162e-05 1.7091108e-05 1.5534921e-05
 4.3674472e-06 3.4040198e-06 3.6973013e-06
 4.9403610e-06 6.8868953e-06 9.3408297e-06
 1.2143469e-05 1.5167007e-05 1.8316596e-05
 2.1507435e-05 2.4673969e-05 2.7764800e-05
 3.0741804e-05 3.3576182e-05 3.6250408e-05
 3.8755978e-05 4.1087746e-05 4.3254696e-05
 4.5259961e-05 4.7132479e-05 4.8885523e-05
 5.0556736e-05 5.2180989e-05 5.3796832e-05
 5.5456015e-05 5.7208858e-05 5.9119674e-05
 6.1283647e-05 6.3745917e-05 5.9626468e-05
 5.3825152e-05 4.8544471e-05 4.3672373e-05
 3.9188924e-05 3.5079305e-05 3.1336517e-05
 2.7920742e-05 2.4823023e-05 2.2044723e-05
