Number of nodes 366 
     0 : -4.0000000e+00  8.5000000e-01 
     1 : -3.7500000e+00  8.5000000e-01 
     2 :  5.3500000e+00  1.5000000e+00 
     3 :  4.3500000e+00  6.0000000e+00 
     4 :  4.0000000e+00  6.0000000e+00 
     5 : -4.2165899e-01  5.0691244e+00 
     6 : -5.0000000e-01  5.5000000e+00 
     7 : -1.0000000e+00  5.5000000e+00 
     8 : -9.1907514e-01  5.0549133e+00 
     9 : -4.0000000e+00  1.5000000e+00 
    10 : -3.7500000e+00  9.3750000e-01 
    11 :  0.0000000e+00  0.0000000e+00 
    12 :  5.0000000e-01  0.0000000e+00 
    13 :  4.3666667e+00  4.3500000e+00 
    14 :  5.0000000e+00  1.5000000e+00 
    15 : -9.4117647e-02  5.1764706e-01 
    16 : -3.7500000e+00  1.2031250e+00 
    17 : -3.7500000e+00  1.2857143e+00 
    18 : -8.3870968e-01  4.6129032e+00 
    19 : -3.3695652e-01  4.6032609e+00 
    20 :  4.0657895e+00  5.7039474e+00 
    21 :  4.2772277e+00  4.7524752e+00 
    22 :  4.1596639e-01  4.6218487e-01 
    23 :  5.2753696e+00  1.8358367e+00 
    24 :  5.2049469e+00  2.1527390e+00 
    25 :  5.1374370e+00  2.4565336e+00 
    26 :  5.0718393e+00  2.7517233e+00 
    27 :  5.0073286e+00  3.0420211e+00 
    28 :  4.9431791e+00  3.3306943e+00 
    29 :  4.8787086e+00  3.6208115e+00 
    30 :  4.8132348e+00  3.9154434e+00 
    31 :  4.7460338e+00  4.2178477e+00 
    32 :  4.6762972e+00  4.5316626e+00 
    33 :  4.6030833e+00  4.8611252e+00 
    34 :  4.5252619e+00  5.2113216e+00 
    35 :  4.4414555e+00  5.5884504e+00 
    36 :  3.6024323e+00  5.9163015e+00 
    37 :  3.2388892e+00  5.8397661e+00 
    38 :  2.9022987e+00  5.7689050e+00 
    39 :  2.5873730e+00  5.7026048e+00 
    40 :  2.2900628e+00  5.6400132e+00 
    41 :  2.0071977e+00  5.5804627e+00 
    42 :  1.7362445e+00  5.5234199e+00 
    43 :  1.4751391e+00  5.4684503e+00 
    44 :  1.2221694e+00  5.4151936e+00 
    45 :  9.7588965e-01  5.3633452e+00 
    46 :  7.3505779e-01  5.3126437e+00 
    47 :  4.9858886e-01  5.2628608e+00 
    48 :  2.6551912e-01  5.2137935e+00 
    49 :  3.4978241e-02  5.1652586e+00 
    50 : -1.9383271e-01  5.1170879e+00 
    51 : -4.6017381e-01  5.2809560e+00 
    52 : -7.4854743e-01  5.5000000e+00 
    53 : -9.5880059e-01  5.2734032e+00 
    54 : -1.0699418e+00  4.8808363e+00 
    55 : -1.2185745e+00  4.7093372e+00 
    56 : -1.3653658e+00  4.5399625e+00 
    57 : -1.5106960e+00  4.3722738e+00 
    58 : -1.6549374e+00  4.2058415e+00 
    59 : -1.7984599e+00  4.0402386e+00 
    60 : -1.9416363e+00  3.8750350e+00 
    61 : -2.0848480e+00  3.7097908e+00 
    62 : -2.2284912e+00  3.5440486e+00 
    63 : -2.3729846e+00  3.3773255e+00 
    64 : -2.5187778e+00  3.2091026e+00 
    65 : -2.6663619e+00  3.0388131e+00 
    66 : -2.8162832e+00  2.8658270e+00 
    67 : -2.9691597e+00  2.6894311e+00 
    68 : -3.1257037e+00  2.5088035e+00 
    69 : -3.2867521e+00  2.3229784e+00 
    70 : -3.4533081e+00  2.1307983e+00 
    71 : -3.6266005e+00  1.9308456e+00 
    72 : -3.8081697e+00  1.7213426e+00 
    73 : -4.0000000e+00  1.1850379e+00 
    74 : -3.4428785e+00  8.6071961e-01 
    75 : -3.1453143e+00  7.8632857e-01 
    76 : -2.8565341e+00  7.1413352e-01 
    77 : -2.5756770e+00  6.4391926e-01 
    78 : -2.3018355e+00  5.7545887e-01 
    79 : -2.0340827e+00  5.0852068e-01 
    80 : -1.7714892e+00  4.4287230e-01 
    81 : -1.5131303e+00  3.7828257e-01 
    82 : -1.2580873e+00  3.1452184e-01 
    83 : -1.0054434e+00  2.5136084e-01 
    84 : -7.5427462e-01  1.8856866e-01 
    85 : -5.0363854e-01  1.2590963e-01 
    86 : -2.5255775e-01  6.3139438e-02 
    87 :  2.4947076e-01  0.0000000e+00 
    88 :  6.7846730e-01  2.0077571e-01 
    89 :  8.5264129e-01  3.9672145e-01 
    90 :  1.0230349e+00  5.8841426e-01 
    91 :  1.1901286e+00  7.7639464e-01 
    92 :  1.3543776e+00  9.6117477e-01 
    93 :  1.5162182e+00  1.1432455e+00 
    94 :  1.6760734e+00  1.3230826e+00 
    95 :  1.8343584e+00  1.5011532e+00 
    96 :  1.9914857e+00  1.6779215e+00 
    97 :  2.1478711e+00  1.8538550e+00 
    98 :  2.3039393e+00  2.0294317e+00 
    99 :  2.4601311e+00  2.2051474e+00 
   100 :  2.6169110e+00  2.3815249e+00 
   101 :  2.7747770e+00  2.5591241e+00 
   102 :  2.9342719e+00  2.7385559e+00 
   103 :  3.0959984e+00  2.9204982e+00 
   104 :  3.2606379e+00  3.1057177e+00 
   105 :  3.4289759e+00  3.2950979e+00 
   106 :  3.6019359e+00  3.4896779e+00 
   107 :  3.7806276e+00  3.6907061e+00 
   108 :  3.9664150e+00  3.8997169e+00 
   109 :  4.1610178e+00  4.1186450e+00 
   110 :  4.4307520e+00  4.0616158e+00 
   111 :  4.4930998e+00  3.7810510e+00 
   112 :  4.5543070e+00  3.5056184e+00 
   113 :  4.6149311e+00  3.2328101e+00 
   114 :  4.6755161e+00  2.9601774e+00 
   115 :  4.7366207e+00  2.6852068e+00 
   116 :  4.7988496e+00  2.4051766e+00 
   117 :  4.8628945e+00  2.1169750e+00 
   118 :  4.9295900e+00  1.8168452e+00 
   119 : -3.3628909e-01  5.6305420e-01 
   120 : -5.7798409e-01  6.0837202e-01 
   121 : -8.2005756e-01  6.5376079e-01 
   122 : -1.0633425e+00  6.9937672e-01 
   123 : -1.3086634e+00  7.4537439e-01 
   124 : -1.5568471e+00  7.9190883e-01 
   125 : -1.8087323e+00  8.3913731e-01 
   126 : -2.0651762e+00  8.8722054e-01 
   127 : -2.3270590e+00  9.3632356e-01 
   128 : -2.5952839e+00  9.8661573e-01 
   129 : -2.8707728e+00  1.0382699e+00 
   130 : -3.1544545e+00  1.0914602e+00 
   131 : -3.4472411e+00  1.1463577e+00 
   132 : -3.5546148e+00  1.5090117e+00 
   133 : -3.3704717e+00  1.7194609e+00 
   134 : -3.1953899e+00  1.9195544e+00 
