Size 389 
 9.7275194e+05 9.7275194e+05 1.3115875e+06
 3.6573722e+06 3.6573722e+06 3.1721202e+06
 3.3967294e+06 3.3967294e+06 3.1647122e+06
 1.3115875e+06 1.0183644e+06 5.2965928e+05
 5.2965928e+05 2.7972511e+06 1.3115875e+06
 7.9950118e+05 1.1568309e+06 1.1998835e+06
 2.9342987e+06 2.9292723e+06 3.5030442e+06
 3.0070556e+06 7.7058954e+05 1.4350498e+06
 1.5585122e+06 1.6819745e+06 1.8054369e+06
 1.9288992e+06 2.0523616e+06 2.1758239e+06
 2.2992863e+06 2.4227486e+06 2.5462110e+06
 2.6696734e+06 2.7931357e+06 2.9165981e+06
 3.0400604e+06 3.1635228e+06 3.2869851e+06
 3.4104475e+06 3.5339098e+06 3.6573722e+06
 3.6318326e+06 3.6062930e+06 3.5807534e+06
 3.5552139e+06 3.5296743e+06 3.5041347e+06
 3.4785951e+06 3.4530556e+06 3.4275160e+06
 3.4019764e+06 3.3764368e+06 3.3508973e+06
 3.3253577e+06 3.2998181e+06 3.2742785e+06
 3.2487390e+06 3.2231994e+06 3.1976598e+06
 3.2844248e+06 3.3967294e+06 3.2807208e+06
 3.0671793e+06 2.9696464e+06 2.8721136e+06
 2.7745807e+06 2.6770478e+06 2.5795149e+06
 2.4819820e+06 2.3844492e+06 2.2869163e+06
 2.1893834e+06 2.0918505e+06 1.9943176e+06
 1.8967848e+06 1.7992519e+06 1.7017190e+06
 1.6041861e+06 1.5066533e+06 1.4091204e+06
 1.1986423e+06 1.0856971e+06 9.8782035e+05
 9.5727627e+05 9.2673220e+05 8.9618813e+05
 8.6564406e+05 8.3509999e+05 8.0455592e+05
 7.7401185e+05 7.4346778e+05 7.1292371e+05
 6.8237963e+05 6.5183556e+05 6.2129149e+05
 5.9074742e+05 5.6020335e+05 5.2965928e+05
 6.2414227e+05 7.1862527e+05 8.1310826e+05
 9.0759125e+05 1.0020742e+06 1.0965572e+06
 1.1910402e+06 1.2855232e+06 1.3800062e+06
 1.4744892e+06 1.5689722e+06 1.6634552e+06
 1.7579382e+06 1.8524212e+06 1.9469042e+06
 2.0413872e+06 2.1358702e+06 2.2303532e+06
 2.3248362e+06 2.4193191e+06 2.5138021e+06
 2.6082851e+06 2.7027681e+06 2.6734458e+06
 2.5496405e+06 2.4258352e+06 2.3020299e+06
 2.1782246e+06 2.0544193e+06 1.9306140e+06
 1.8068087e+06 1.6830034e+06 1.5591981e+06
 1.4353928e+06 1.3115875e+06 8.2332316e+05
 8.4714514e+05 8.7096712e+05 8.9478910e+05
 9.1861108e+05 9.4243306e+05 9.6625503e+05
 9.9007701e+05 1.0138990e+06 1.0377210e+06
 1.0615430e+06 1.0853649e+06 1.1091869e+06
 1.1330089e+06 1.2962399e+06 1.3925963e+06
 1.4889527e+06 1.5853091e+06 1.6816655e+06
 1.7780219e+06 1.8743783e+06 1.9707347e+06
 2.0670911e+06 2.1634475e+06 2.2598039e+06
 2.3561603e+06 2.4525167e+06 2.5488731e+06
 2.6452295e+06 2.7415860e+06 2.8379424e+06
 2.8087224e+06 2.6831461e+06 2.5575698e+06
 2.4319934e+06 2.3064171e+06 2.1808408e+06
 2.0552645e+06 1.9296882e+06 1.8041118e+06
 1.6785355e+06 1.5529591e+06 1.4273828e+06
 1.3018065e+06 1.1762301e+06 1.0506538e+06
 9.2507750e+05 2.9594708e+06 2.9896694e+06
 3.0198679e+06 3.0500664e+06 3.0802649e+06
 3.1104635e+06 3.1406620e+06 3.1708605e+06
 3.2010590e+06 3.2312576e+06 3.2614560e+06
 3.2916546e+06 3.3218531e+06 3.3520516e+06
 3.3822501e+06 3.4124487e+06 3.4426472e+06
 3.4728457e+06 3.3790471e+06 3.2550499e+06
 3.1310528e+06 2.9138695e+06 2.8206834e+06
 2.7274974e+06 2.6343113e+06 2.5411252e+06
 2.4479391e+06 2.3547530e+06 2.2615670e+06
 2.1683809e+06 2.0751948e+06 1.9820087e+06
 1.8888226e+06 1.7956365e+06 1.7024504e+06
 1.6092643e+06 1.5160783e+06 1.4228922e+06
 1.3297061e+06 1.2365200e+06 1.1433339e+06
 1.0501478e+06 9.5696172e+05 8.6377563e+05
 8.9757088e+05 1.0245522e+06 1.1515336e+06
 1.2785149e+06 1.4054962e+06 1.5324776e+06
 1.6594589e+06 1.7864403e+06 1.9134216e+06
 2.0404029e+06 2.1673843e+06 2.2943656e+06
 2.4213469e+06 2.5483283e+06 2.6753097e+06
 2.8022910e+06 6.3200323e+05 3.2192453e+06
 3.0976929e+06 3.0609249e+06 3.0928043e+06
 2.9003488e+06 8.1951310e+05 1.0068312e+06
 2.6401311e+06 1.2587914e+06 2.3889784e+06
 1.5099441e+06 2.1391181e+06 1.7560538e+06
 1.9574023e+06 6.8719005e+05 1.3063157e+06
 3.1217049e+06 7.1867809e+05 6.4375555e+05
 3.1768489e+06 1.0836351e+06 3.2045243e+06
 2.7665409e+06 1.1325506e+06 2.5145548e+06
 1.3843678e+06 2.2634021e+06 1.6355204e+06
 7.4713879e+05 7.7291537e+05 3.2329239e+06
 1.0868433e+06 3.1485843e+06 8.0094685e+05
